title,price,star_rating,availability,category
The Hidden Oracle (The Trials of Apollo #1),£52.26,Two,In stock,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four,In stock,Fantasy
Island of Dragons (Unwanteds #7),£29.65,One,In stock,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,Five,In stock,Fantasy
City of Glass (The Mortal Instruments #3),£56.02,Four,In stock,Fantasy
Searching for Meaning in Gailana,£38.73,One,In stock,Fantasy
The Star-Touched Queen,£32.30,Five,In stock,Fantasy
A Shard of Ice (The Black Symphony Saga #1),£56.63,Three,In stock,Fantasy
King's Folly (The Kinsman Chronicles #1),£39.61,Five,In stock,Fantasy
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,Five,In stock,Fantasy
A Gathering of Shadows (Shades of Magic #2),£44.81,Four,In stock,Fantasy
The Raven Boys (The Raven Cycle #1),£57.74,Four,In stock,Fantasy
The False Prince (The Ascendance Trilogy #1),£56.00,Five,In stock,Fantasy
Tell the Wind and Fire,£45.51,Three,In stock,Fantasy
A Feast for Crows (A Song of Ice and Fire #4),£17.21,Four,In stock,Fantasy
The Demonists (Demonist #1),£52.11,Two,In stock,Fantasy
The Beast (Black Dagger Brotherhood #14),£46.08,Five,In stock,Fantasy
Paper and Fire (The Great Library #2),£49.45,Five,In stock,Fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,Four,In stock,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,Five,In stock,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,One,In stock,Fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,Four,In stock,Fantasy
Soldier (Talon #3),£24.72,Two,In stock,Fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),£55.46,Two,In stock,Fantasy
Heir to the Sky,£44.07,Four,In stock,Fantasy
Eragon (The Inheritance Cycle #1),£43.87,Three,In stock,Fantasy
Darkfever (Fever #1),£56.02,One,In stock,Fantasy
Ash,£22.06,Four,In stock,Fantasy
A Storm of Swords (A Song of Ice and Fire #3),£31.22,Two,In stock,Fantasy
Vampire Girl (Vampire Girl #1),£53.82,Two,In stock,Fantasy
The Silent Twin (Detective Jennifer Knight #3),£36.25,Three,In stock,Fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,One,In stock,Fantasy
Sister Sable (The Mad Queen #1),£13.33,Three,In stock,Fantasy
Shadow Rites (Jane Yellowrock #10),£21.72,Four,In stock,Fantasy
Origins (Alphas 0.5),£28.99,One,In stock,Fantasy
One Second (Seven #7),£52.94,Two,In stock,Fantasy
Myriad (Prentor #1),£58.75,Four,In stock,Fantasy
Tipping the Velvet,£53.74,One,In stock,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction
The House by the Lake,£36.95,One,In stock,Historical Fiction
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction
Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction
A Paris Apartment,£39.01,Four,In stock,Historical Fiction
Lilac Girls,£17.28,Two,In stock,Historical Fiction
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction
The Invention of Wings,£37.34,One,In stock,Historical Fiction
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction
The Red Tent,£35.66,Five,In stock,Historical Fiction
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction
While You Were Mine,£41.32,Five,In stock,Historical Fiction
The Secret Healer,£34.56,Three,In stock,Historical Fiction
Starlark,£25.83,Three,In stock,Historical Fiction
Lost Among the Living,£27.70,Four,In stock,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction
