title,category,price_gbp,rating,in_stock,price_inr
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True,6087.35
The Girl You Lost,Mystery,12.29,5,True,1296.59
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True,1672.18
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True,2141.65
1st to Die (Women's Murder Club #1),Mystery,53.98,1,True,5694.89
Unicorn Tracks,Fantasy,18.78,3,True,1981.29
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,3,True,2639.61
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5,True,1407.37
Masks and Shadows,Fantasy,56.4,2,True,5950.2
Crown of Midnight (Throne of Glass #2),Fantasy,43.29,3,True,4567.1
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09,2,True,2963.5
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37,1,True,5525.04
Throne of Glass (Throne of Glass #1),Fantasy,35.07,3,True,3699.88
The Glittering Court (The Glittering Court #1),Fantasy,44.28,1,True,4671.54
Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,42.98,1,True,4534.39
The Star-Touched Queen,Fantasy,46.02,5,True,4855.11
The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26,2,True,5513.43
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73,4,True,4719.01
Island of Dragons (Unwanteds #7),Fantasy,29.65,1,True,3128.08
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,5,True,3957.3
City of Glass (The Mortal Instruments #3),Fantasy,56.02,4,True,5910.11
Searching for Meaning in Gailana,Fantasy,38.73,1,True,4086.02
The Star-Touched Queen,Fantasy,32.3,5,True,3407.65
A Shard of Ice (The Black Symphony Saga #1),Fantasy,56.63,3,True,5974.46
King's Folly (The Kinsman Chronicles #1),Fantasy,39.61,5,True,4178.85
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,12.16,5,True,1282.88
A Gathering of Shadows (Shades of Magic #2),Fantasy,44.81,4,True,4727.46
The Raven Boys (The Raven Cycle #1),Fantasy,57.74,4,True,6091.57
The False Prince (The Ascendance Trilogy #1),Fantasy,56.0,5,True,5908.0
Tell the Wind and Fire,Fantasy,45.51,3,True,4801.3
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,17.21,4,True,1815.66
The Demonists (Demonist #1),Fantasy,52.11,2,True,5497.6
The Beast (Black Dagger Brotherhood #14),Fantasy,46.08,5,True,4861.44
Paper and Fire (The Great Library #2),Fantasy,49.45,5,True,5216.98
Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,31.63,4,True,3336.96
Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,48.75,5,True,5143.12
Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,14.74,1,True,1555.07
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,58.64,4,True,6186.52
Soldier (Talon #3),Fantasy,24.72,2,True,2607.96
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,55.46,2,True,5851.03
Heir to the Sky,Fantasy,44.07,4,True,4649.38
Eragon (The Inheritance Cycle #1),Fantasy,43.87,3,True,4628.28
Darkfever (Fever #1),Fantasy,56.02,1,True,5910.11
Ash,Fantasy,22.06,4,True,2327.33
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,31.22,2,True,3293.71
Vampire Girl (Vampire Girl #1),Fantasy,53.82,2,True,5678.01
The Silent Twin (Detective Jennifer Knight #3),Fantasy,36.25,3,True,3824.38
The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,29.38,1,True,3099.59
Sister Sable (The Mad Queen #1),Fantasy,13.33,3,True,1406.32
Shadow Rites (Jane Yellowrock #10),Fantasy,21.72,4,True,2291.46
Origins (Alphas 0.5),Fantasy,28.99,1,True,3058.44
One Second (Seven #7),Fantasy,52.94,2,True,5585.17
Myriad (Prentor #1),Fantasy,58.75,4,True,6198.12
Tipping the Velvet,Historical Fiction,53.74,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,5858.42
The House by the Lake,Historical Fiction,36.95,1,True,3898.23
Mrs. Houdini,Historical Fiction,30.25,5,True,3191.38
The Marriage of Opposites,Historical Fiction,28.08,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,4836.12
"Love, Lies and Spies",Historical Fiction,20.55,2,True,2168.02
A Paris Apartment,Historical Fiction,39.01,4,True,4115.55
Lilac Girls,Historical Fiction,17.28,2,True,1823.04
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),Historical Fiction,21.07,5,True,2222.89
The Red Tent,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,5225.42
Girl in the Blue Coat,Historical Fiction,46.83,2,True,4940.56
Between Shades of Gray,Historical Fiction,20.79,5,True,2193.34
While You Were Mine,Historical Fiction,41.32,5,True,4359.26
The Secret Healer,Historical Fiction,34.56,3,True,3646.08
Starlark,Historical Fiction,25.83,3,True,2725.06
Lost Among the Living,Historical Fiction,27.7,4,True,2922.35
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True,1790.33
